item,title,genres,ratings
356,Forrest Gump (1994),Comedy|Drama|Romance|War,4.5
318,"Shawshank Redemption, The (1994)",Crime|Drama,4
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,3.5
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,3
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller,4
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,5
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,
110,Braveheart (1995),Action|Drama|War,3
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi,2
527,Schindler's List (1993),Drama|War,4.5
2959,Fight Club (1999),Action|Crime|Drama|Thriller,2
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,4.5
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,
2858,American Beauty (1999),Drama|Romance,4
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,2.5
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,3
150,Apollo 13 (1995),Adventure|Drama|IMAX,3.5
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,4
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy,4.5
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,
858,"Godfather, The (1972)",Crime|Drama,
457,"Fugitive, The (1993)",Thriller,
592,Batman (1989),Action|Crime|Thriller,
2028,Saving Private Ryan (1998),Action|Drama|War,
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy,4
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy,4
588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,4
608,Fargo (1996),Comedy|Crime|Drama|Thriller,3
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery,3
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,
364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,5
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi,4.5
377,Speed (1994),Action|Romance|Thriller,
3578,Gladiator (2000),Action|Adventure|Drama,2
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance,4
1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,3
590,Dances with Wolves (1990),Adventure|Drama|Western,
648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,3.5
344,Ace Ventura: Pet Detective (1994),Comedy,2
4226,Memento (2000),Mystery|Thriller,3
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,2
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy,
